GEO_id,GEO_id2,GEO_displaylabel,NAICS_id,NAICS_display-label,YEAR_id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,CSTMTOT,RCPTOT,VALADD,CEXTOT
E600000US3605945997,3605945997,"Massapequa Park village, New York",31-33,Manufacturing,2012,6,5,0,16,179,13,13,D,243,533,290,D
E600000US3605947636,3605947636,"Mineola village, New York",31-33,Manufacturing,2012,2,44,8,711,32427,497,923,17584,114002,193380,81721,2689
E600000US3605950397,3605950397,"New Hyde Park village, New York",31-33,Manufacturing,2012,7,17,4,235,9811,192,375,7395,12382,D,18607,D
E600000US3605953000,3605953000,"North Hempstead town (balance), New York",31-33,Manufacturing,2012,4,141,34,3144,163244,2152,4271,91135,353214,725203,377321,21565
E600000US3605953022,3605953022,"North Hills village, New York",31-33,Manufacturing,2012,9,4,0,11,D,7,6,D,D,D,D,2
E600000US3605956000,3605956000,"Oyster Bay town (balance), New York",31-33,Manufacturing,2012,0,236,44,4877,349491,2918,5589,168288,822487,2631897,1797719,29408
E600000US3605959531,3605959531,"Port Washington North village, New York",31-33,Manufacturing,2012,0,12,6,284,12033,145,242,5893,20672,D,38762,D
E600000US3605963264,3605963264,"Rockville Centre village, New York",31-33,Manufacturing,2012,9,12,2,138,5310,104,205,3211,16001,D,14504,D
E600000US3605963770,3605963770,"Roslyn village, New York",31-33,Manufacturing,2012,0,4,1,57,2236,27,43,707,3240,D,4859,D
E600000US3605976705,3605976705,"Valley Stream village, New York",31-33,Manufacturing,2012,6,25,0,92,3649,56,94,1692,7291,15189,7885,D
E600000US3605979444,3605979444,"Westbury village, New York",31-33,Manufacturing,2012,0,15,2,474,26785,183,378,11728,D,D,64280,D
E600000US3605982117,3605982117,"Williston Park village, New York",31-33,Manufacturing,2012,8,6,0,14,392,8,11,213,400,1106,706,D
E600000US3606311803,3606311803,"Cambria town, New York",31-33,Manufacturing,2012,2,12,1,108,3999,80,164,3256,3083,D,10644,821
E600000US3606343082,3606343082,"Lockport city, New York",31-33,Manufacturing,2012,2,37,10,940,43190,616,1241,24182,215362,317307,103081,11075
E600000US3606343093,3606343093,"Lockport town, New York",31-33,Manufacturing,2012,0,17,7,1481,118758,1184,2527,88330,D,D,D,8594
E600000US3606350232,3606350232,"Newfane town, New York",31-33,Manufacturing,2012,2,7,0,29,1275,21,37,736,1015,D,2493,179
E600000US3606351033,3606351033,"Niagara town, New York",31-33,Manufacturing,2012,0,17,6,368,15531,265,546,8828,52036,99505,47693,D
E600000US3606351055,3606351055,"Niagara Falls city, New York",31-33,Manufacturing,2012,0,43,17,1662,116347,1189,2535,77527,532339,1071832,534635,62943
E600000US3606353682,3606353682,"North Tonawanda city, New York",31-33,Manufacturing,2012,0,62,20,1440,66255,1001,2100,39377,214940,437136,229473,7932
E600000US3606357111,3606357111,"Pendleton town, New York",31-33,Manufacturing,2012,3,6,3,113,4938,73,161,2986,16628,D,12811,D
E600000US3606359267,3606359267,"Porter town, New York",31-33,Manufacturing,2012,9,4,1,32,1652,23,D,1063,1990,5443,3453,D
E600000US3606364034,3606364034,"Royalton town, New York",31-33,Manufacturing,2012,8,16,3,194,9787,130,268,5636,46941,D,47557,4922
E600000US3606368330,3606368330,"Somerset town, New York",31-33,Manufacturing,2012,8,4,2,90,3954,D,D,2736,D,D,D,45
E600000US3606381380,3606381380,"Wheatfield town, New York",31-33,Manufacturing,2012,0,38,16,1425,70744,925,2043,39735,220328,441509,222249,28961
E600000US3606382370,3606382370,"Wilson town, New York",31-33,Manufacturing,2012,0,4,1,52,2944,28,51,D,D,D,D,D
E600000US3606507366,3606507366,"Boonville town, New York",31-33,Manufacturing,2012,3,9,2,99,3156,80,146,2287,11428,19791,8320,388
E600000US3606511858,3606511858,"Camden town, New York",31-33,Manufacturing,2012,0,4,2,e,D,D,D,D,D,D,D,D
E600000US3606526385,3606526385,"Floyd town, New York",31-33,Manufacturing,2012,5,3,2,c,D,D,D,D,D,D,D,D
E600000US3606539804,3606539804,"Kirkland town, New York",31-33,Manufacturing,2012,8,6,3,580,32611,448,879,21115,30270,D,62746,D
E600000US3606545535,3606545535,"Marcy town, New York",31-33,Manufacturing,2012,8,4,0,29,1271,21,44,842,4271,D,3081,D
E600000US3606550298,3606550298,"New Hartford village, New York",31-33,Manufacturing,2012,1,3,0,8,D,3,D,D,D,D,D,0
E600000US3606550309,3606550309,"New Hartford town (balance), New York",31-33,Manufacturing,2012,0,14,8,2483,132201,1295,2631,55117,326469,717372,422331,D
E600000US3606551011,3606551011,"New York Mills village, New York",31-33,Manufacturing,2012,0,10,4,393,16048,306,566,8632,84149,117841,33822,D
E600000US3606556330,3606556330,"Paris town, New York",31-33,Manufacturing,2012,0,4,1,c,D,D,D,D,D,D,D,D
E600000US3606563418,3606563418,"Rome city, New York",31-33,Manufacturing,2012,0,37,15,1439,75110,919,1878,37210,758743,957688,203063,21787
E600000US3606565134,3606565134,"Sangerfield town, New York",31-33,Manufacturing,2012,3,6,2,189,7386,148,269,4735,44737,D,16288,D
E600000US3606566993,3606566993,"Sherrill city, New York",31-33,Manufacturing,2012,0,8,2,91,4129,75,150,3083,11736,25647,14181,545
E600000US3606575280,3606575280,"Trenton town, New York",31-33,Manufacturing,2012,4,6,1,68,3222,46,86,1845,3081,D,5233,D
E600000US3606576540,3606576540,"Utica city, New York",31-33,Manufacturing,2012,3,68,18,1708,73408,989,1919,31112,153207,322160,167737,11884
E600000US3606577486,3606577486,"Vienna town, New York",31-33,Manufacturing,2012,0,3,1,e,D,D,D,D,D,D,D,D
E600000US3606580533,3606580533,"Westmoreland town, New York",31-33,Manufacturing,2012,9,5,2,95,4788,54,102,2181,D,D,14110,247
E600000US3606581710,3606581710,"Whitesboro village, New York",31-33,Manufacturing,2012,0,3,1,c,D,D,D,D,D,D,D,D
E600000US3606581754,3606581754,"Whitestown town (balance), New York",31-33,Manufacturing,2012,1,19,10,1009,41559,576,983,18349,374414,D,105857,D
E600000US3606584099,3606584099,"Yorkville village, New York",31-33,Manufacturing,2012,0,6,3,236,6698,177,296,4352,12352,28243,16298,D
E600000US3606598065,3606598065,"Balance of Oneida County, New York",31-33,Manufacturing,2012,3,11,1,151,4590,110,177,2938,25922,49915,24618,D
E600000US3606704198,3606704198,"Baldwinsville village, New York",31-33,Manufacturing,2012,9,4,1,37,1592,22,D,D,D,D,D,D
E600000US3606711913,3606711913,"Camillus town, New York",31-33,Manufacturing,2012,0,3,1,c,D,D,D,D,D,D,D,D
E600000US3606715704,3606715704,"Cicero town (balance), New York",31-33,Manufacturing,2012,0,21,8,825,43155,489,994,20931,418199,D,303190,D
E600000US3606716067,3606716067,"Clay town (balance), New York",31-33,Manufacturing,2012,1,29,16,1652,68968,933,1766,31351,170887,351108,183808,11407
E600000US3606720478,3606720478,"De Witt town (balance), New York",31-33,Manufacturing,2012,1,113,53,4543,265071,2524,4713,98992,692710,1542525,941943,57181
E600000US3606723052,3606723052,"East Syracuse village, New York",31-33,Manufacturing,2012,1,14,6,418,38932,293,691,24668,96830,D,73020,D
E600000US3606723800,3606723800,"Elbridge town, New York",31-33,Manufacturing,2012,0,6,5,867,41600,785,1377,34522,104433,D,102089,D
E600000US3606728519,3606728519,"Geddes town (balance), New York",31-33,Manufacturing,2012,0,16,7,504,26442,384,738,17054,71459,D,58777,D
E600000US3606740266,3606740266,"LaFayette town, New York",31-33,Manufacturing,2012,0,3,1,33,1165,D,D,D,D,D,2965,D
E600000US3606744039,3606744039,"Lysander town (balance), New York",31-33,Manufacturing,2012,0,8,3,896,56273,744,1319,38431,D,D,D,28019
E600000US3606745018,3606745018,"Manlius village, New York",31-33,Manufacturing,2012,0,7,4,875,32122,657,1399,18916,36999,D,59934,D
E600000US3606745029,3606745029,"Manlius town (balance), New York",31-33,Manufacturing,2012,7,6,2,85,3291,62,109,1852,5618,12142,6524,107
E600000US3606745491,3606745491,"Marcellus town, New York",31-33,Manufacturing,2012,2,4,1,41,1629,24,47,769,6783,D,5824,D
E600000US3606753660,3606753660,"North Syracuse village, New York",31-33,Manufacturing,2012,0,7,3,335,16376,154,232,4393,40908,85610,45580,D
E600000US3606754958,3606754958,"Onondaga town, New York",31-33,Manufacturing,2012,2,9,2,89,4339,40,95,1466,7161,D,13640,934
E600000US3606764815,3606764815,"Salina town (balance), New York",31-33,Manufacturing,2012,5,45,14,1029,50115,675,1320,23629,111350,230843,120336,D
E600000US3606767521,3606767521,"Skaneateles town, New York",31-33,Manufacturing,2012,5,8,4,1807,165862,770,1568,30553,510932,D,631324,D
E600000US3606768286,3606768286,"Solvay village, New York",31-33,Manufacturing,2012,0,7,4,398,17940,329,722,12228,56204,D,72838,8061
E600000US3606773000,3606773000,"Syracuse city, New York",31-33,Manufacturing,2012,0,111,31,3772,181318,2351,4597,94958,705779,1656366,957562,47955
E600000US3606776760,3606776760,"Van Buren town (balance), New York",31-33,Manufacturing,2012,0,7,2,149,8855,81,154,2924,22320,D,13874,D
E600000US3606912144,3606912144,"Canandaigua city, New York",31-33,Manufacturing,2012,0,14,3,286,14773,226,469,10439,D,D,85245,D
E600000US3606912155,3606912155,"Canandaigua town, New York",31-33,Manufacturing,2012,9,11,2,863,34304,736,1478,24273,160484,387057,D,D
E600000US3606921699,3606921699,"East Bloomfield town, New York",31-33,Manufacturing,2012,7,11,5,560,27862,410,832,12911,98589,D,130250,7588
E600000US3606925406,3606925406,"Farmington town, New York",31-33,Manufacturing,2012,1,9,6,343,14860,236,426,9119,25791,55870,30565,D
E600000US3606928651,3606928651,"Geneva town, New York",31-33,Manufacturing,2012,0,4,2,e,D,D,D,D,D,D,D,419
E600000US3606929531,3606929531,"Gorham town, New York",31-33,Manufacturing,2012,0,4,0,15,D,D,D,D,D,D,D,8
E600000US3606935551,3606935551,"Hopewell town, New York",31-33,Manufacturing,2012,0,3,1,24,D,15,D,D,D,D,D,D
E600000US3606944864,3606944864,"Manchester town (balance), New York",31-33,Manufacturing,2012,1,13,5,324,13050,269,560,9956,19509,D,38578,1713
E600000US3606949440,3606949440,"Naples town, New York",31-33,Manufacturing,2012,0,5,1,55,1340,44,53,956,D,D,D,71
